"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32810","""before all"" hook for Clientes","","2026-08-12","broken","2026-08-12","","","",""
"","21200","deve acessar a home após inserir o PIN correto","Login","2026-08-12","failed","2026-08-12","","","",""
"","19431","deve acessar a home após inserir o PIN correto","Login","2026-08-12","failed","2026-08-12","","","",""
"","15161","deve verificar e aplicar atualização disponível","Update Check","2026-08-12","passed","2026-08-12","","","",""
"","3222","deve exibir erro ao tentar logar com campos vazios","Login","2026-08-12","passed","2026-08-12","","","",""
"","20799","deve exibir erro ao tentar logar com campos vazios","Login","2026-08-12","passed","2026-08-12","","","",""
"","22817","deve acessar a home após inserir o PIN correto","Login","2026-08-12","failed","2026-08-12","","","",""
"","4862","deve exibir erro ao tentar logar com campos vazios","Login","2026-08-12","passed","2026-08-12","","","",""
"","44571","deve verificar e aplicar atualização disponível","Update Check","2026-08-12","passed","2026-08-12","","","",""
"","42836","deve acessar a home após inserir o PIN correto","Login","2026-08-12","failed","2026-08-12","","","",""
"","17064","deve verificar e aplicar atualização disponível","Update Check","2026-08-12","passed","2026-08-12","","","",""
"","25238","deve acessar a home após inserir o PIN correto","Login","2026-08-12","failed","2026-08-12","","","",""
"","22197","deve verificar e aplicar atualização disponível","Update Check","2026-08-12","passed","2026-08-12","","","",""
"","2680","deve exibir erro ao tentar logar com campos vazios","Login","2026-08-12","passed","2026-08-12","","","",""
"","14734","deve verificar e aplicar atualização disponível","Update Check","2026-08-12","passed","2026-08-12","","","",""
"","2656","deve exibir erro ao tentar logar com campos vazios","Login","2026-08-12","passed","2026-08-12","","","",""
